"Model","Relative Error","Standard Deviation","Gains","Total Time","Training Time (1,000 Rows)","Scoring Time (1,000 Rows)"
"Generalized Linear Model",0.09908233792051183,0.009295196579539276,,44972.0,887.6712328767123,481.16438356164383
"Deep Learning",0.09908351734284425,0.005043834937621595,,39521.0,6923.9726027397255,181.5068493150685
"Decision Tree",0.13800993809715748,0.004117714182079567,,86291.0,266.43835616438355,1731.164383561644
"Random Forest",0.10852276746518327,0.007362422731708319,,209050.0,3932.1917808219177,957.1917808219179
"Gradient Boosted Trees",0.08566837607553271,0.006318527091170348,,289782.0,2176.027397260274,220.8904109589041
"Support Vector Machine",0.15809489218281034,0.015518263746071655,,227332.0,4353.424657534247,2030.8219178082193
